alloc!
Epoch 454, train_loss=113.2, val_loss=1282
Epoch 455, train_loss=113.1, val_loss=1281
Epoch 456, train_loss=113, val_loss=1281
Epoch 457, train_loss=113.1, val_loss=1281
Epoch 458, train_loss=112.8, val_loss=1281
Epoch 459, train_loss=112.8, val_loss=1282
Epoch 460, train_loss=112.7, val_loss=1281
Epoch 461, train_loss=112.6, val_loss=1280
Epoch 462, train_loss=112.5, val_loss=1280
Epoch 463, train_loss=112.5, val_loss=1280
Epoch 464, train_loss=112.4, val_loss=1280
Epoch 465, train_loss=112.2, val_loss=1280
Epoch 466, train_loss=112.2, val_loss=1279
Epoch 467, train_loss=112.2, val_loss=1279
Epoch 468, train_loss=112.2, val_loss=1280
Epoch 469, train_loss=112.1, val_loss=1279
Epoch 470, train_loss=111.9, val_loss=1278
Epoch 471, train_loss=111.8, val_loss=1278
Epoch 472, train_loss=111.8, val_loss=1278
Epoch 473, train_loss=111.9, val_loss=1277
Epoch 474, train_loss=111.6, val_loss=1276
Epoch 475, train_loss=111.6, val_loss=1276
Epoch 476, train_loss=111.5, val_loss=1276
Epoch 477, train_loss=111.5, val_loss=1275
Epoch 478, train_loss=111.4, val_loss=1275
Epoch 479, train_loss=111.3, val_loss=1275
Epoch 480, train_loss=111.3, val_loss=1275
Epoch 481, train_loss=111.2, val_loss=1275
Epoch 482, train_loss=111.2, val_loss=1275
Epoch 483, train_loss=111.1, val_loss=1273
Epoch 484, train_loss=111, val_loss=1272
Epoch 485, train_loss=110.9, val_loss=1272
Epoch 486, train_loss=111, val_loss=1272
Epoch 487, train_loss=110.9, val_loss=1271
Epoch 488, train_loss=110.8, val_loss=1271
Epoch 489, train_loss=110.7, val_loss=1271
Epoch 490, train_loss=110.7, val_loss=1270
Epoch 491, train_loss=110.7, val_loss=1269
Epoch 492, train_loss=110.6, val_loss=1269
Epoch 493, train_loss=110.5, val_loss=1269
Epoch 494, train_loss=110.6, val_loss=1268
Epoch 495, train_loss=110.4, val_loss=1268
Epoch 496, train_loss=110.4, val_loss=1267
Epoch 497, train_loss=110.4, val_loss=1268
Epoch 498, train_loss=110.3, val_loss=1268
Epoch 499, train_loss=110.1, val_loss=1268
Epoch 500, train_loss=110.2, val_loss=1267
Epoch 501, train_loss=110.1, val_loss=1266
Epoch 502, train_loss=110, val_loss=1264
Epoch 503, train_loss=110, val_loss=1265
Epoch 504, train_loss=109.9, val_loss=1264
